state,transaction_year,quater,transaction_places,transaction_count,transaction_amount
madhya-pradesh,2021,3,morena district,2663845,5913102281
madhya-pradesh,2021,3,alirajpur district,405281,866069975
madhya-pradesh,2021,3,sehore district,5466240,8629273157
madhya-pradesh,2021,3,rajgarh district,4362607,8110477015
madhya-pradesh,2021,3,khargone district,4080827,7653424067
madhya-pradesh,2021,3,satna district,3863963,7099161854
madhya-pradesh,2021,3,narsinghpur district,2306626,4381298516
madhya-pradesh,2021,3,jabalpur district,9691966,16293034528
madhya-pradesh,2021,3,hoshangabad district,3357514,5790861781
madhya-pradesh,2021,3,vidisha district,3335770,5867670567
madhya-pradesh,2021,3,balaghat district,3613826,6476841319
madhya-pradesh,2021,3,singrauli district,3618155,6621353481
madhya-pradesh,2021,3,betul district,3654633,6054678740
madhya-pradesh,2021,3,sidhi district,1699469,3628172896
madhya-pradesh,2021,3,datia district,1020487,2200901347
madhya-pradesh,2021,3,dewas district,6092595,9986506658
madhya-pradesh,2021,3,sheopur district,653005,1463415451
madhya-pradesh,2021,3,neemuch district,2073895,4051955941
madhya-pradesh,2021,3,raisen district,3839223,5937299649
madhya-pradesh,2021,3,mandsaur district,3144346,6258972327
madhya-pradesh,2021,3,barwani district,1902146,3713834240
madhya-pradesh,2021,3,katni district,2297587,4195234171
madhya-pradesh,2021,3,dindori district,732555,1558066600
madhya-pradesh,2021,3,shivpuri district,2526203,5208883167
madhya-pradesh,2021,3,gwalior district,10677148,19237891487
madhya-pradesh,2021,3,anuppur district,1546491,2591714166
madhya-pradesh,2021,3,agar malwa district,1319027,2767273784
madhya-pradesh,2021,3,ashoknagar district,1292875,2392758234
madhya-pradesh,2021,3,sagar district,4691027,8366148265
madhya-pradesh,2021,3,niwari district,415505,858519029
madhya-pradesh,2021,3,rewa district,4556210,8799296257
madhya-pradesh,2021,3,shajapur district,2725153,4865959005
madhya-pradesh,2021,3,ujjain district,7652620,13233697399
madhya-pradesh,2021,3,bhind district,2080070,4279914834
madhya-pradesh,2021,3,tikamgarh district,1201562,2318909825
madhya-pradesh,2021,3,seoni district,2537797,4896066893
madhya-pradesh,2021,3,harda district,1238849,2408638434
madhya-pradesh,2021,3,burhanpur district,1523550,2670012212
madhya-pradesh,2021,3,damoh district,1339223,2698898323
madhya-pradesh,2021,3,bhopal district,103403998,146735124186
madhya-pradesh,2021,3,jhabua district,1098652,2216570769
madhya-pradesh,2021,3,dhar district,7010257,11371461567
madhya-pradesh,2021,3,guna district,3046536,5615584297
madhya-pradesh,2021,3,east nimar district,2804269,4694724162
madhya-pradesh,2021,3,chhindwara district,5106996,8670292561
madhya-pradesh,2021,3,umaria district,1019837,1814397211
madhya-pradesh,2021,3,mandla district,1316351,2496120604
madhya-pradesh,2021,3,indore district,55970712,81712956761
madhya-pradesh,2021,3,shahdol district,2503362,4430769579
madhya-pradesh,2021,3,ratlam district,3779757,7531821203
madhya-pradesh,2021,3,panna district,1024773,2190941787
madhya-pradesh,2021,3,chhatarpur district,2157963,4585651268
madhya-pradesh,2021,4,morena district,3585380,8161920390
madhya-pradesh,2021,4,alirajpur district,538522,1097069368
madhya-pradesh,2021,4,sehore district,6733399,10809509304
madhya-pradesh,2021,4,rajgarh district,5626439,10698887270
madhya-pradesh,2021,4,khargone district,5088590,9607110801
madhya-pradesh,2021,4,satna district,5204603,9608260177
madhya-pradesh,2021,4,narsinghpur district,2973597,5586877149
madhya-pradesh,2021,4,jabalpur district,12476449,20920967750
madhya-pradesh,2021,4,hoshangabad district,4325760,7212062660
madhya-pradesh,2021,4,vidisha district,4079220,7104046806
madhya-pradesh,2021,4,balaghat district,4764095,8230285934
madhya-pradesh,2021,4,singrauli district,4737504,8571068342
madhya-pradesh,2021,4,betul district,4610618,7746768750
madhya-pradesh,2021,4,sidhi district,2313095,4853524424
madhya-pradesh,2021,4,datia district,1346093,2916910531
madhya-pradesh,2021,4,dewas district,7659615,13007477185
madhya-pradesh,2021,4,sheopur district,936805,2118865209
madhya-pradesh,2021,4,neemuch district,2627248,5212505514
madhya-pradesh,2021,4,raisen district,4924261,7495214245
madhya-pradesh,2021,4,mandsaur district,4090431,8304681268
madhya-pradesh,2021,4,barwani district,2495299,4810801435
madhya-pradesh,2021,4,katni district,2986585,5480440628
madhya-pradesh,2021,4,dindori district,963996,1890051577
madhya-pradesh,2021,4,shivpuri district,3613567,7568666954
madhya-pradesh,2021,4,gwalior district,13721879,25012279408
madhya-pradesh,2021,4,anuppur district,1976049,3206018786
madhya-pradesh,2021,4,agar malwa district,1743826,3809022940
madhya-pradesh,2021,4,ashoknagar district,1904746,3267926297
madhya-pradesh,2021,4,sagar district,6030013,10789842580
madhya-pradesh,2021,4,niwari district,575126,1197608329
madhya-pradesh,2021,4,rewa district,6195961,12315058116
madhya-pradesh,2021,4,shajapur district,3399603,6330602069
madhya-pradesh,2021,4,ujjain district,9436286,16998154949
madhya-pradesh,2021,4,bhind district,2791109,6047697024
madhya-pradesh,2021,4,tikamgarh district,1642235,3028439418
madhya-pradesh,2021,4,seoni district,3363427,6441935673
madhya-pradesh,2021,4,harda district,1580357,3025411186
madhya-pradesh,2021,4,burhanpur district,1978706,3462220827
madhya-pradesh,2021,4,damoh district,1739709,3520991600
madhya-pradesh,2021,4,bhopal district,134176541,190196223229
madhya-pradesh,2021,4,jhabua district,1397183,2807693750
madhya-pradesh,2021,4,dhar district,8770665,14454487270
madhya-pradesh,2021,4,guna district,4200430,7498880363
madhya-pradesh,2021,4,east nimar district,3570045,5993739803
madhya-pradesh,2021,4,chhindwara district,6522234,11185696130
madhya-pradesh,2021,4,umaria district,1309452,2278425751
madhya-pradesh,2021,4,mandla district,1725231,3242362406
madhya-pradesh,2021,4,indore district,73486993,107685836352
madhya-pradesh,2021,4,shahdol district,3279007,5504205891
madhya-pradesh,2021,4,ratlam district,4743942,9709336936
madhya-pradesh,2021,4,panna district,1348289,2815048065
madhya-pradesh,2021,4,chhatarpur district,2997869,6048373564
madhya-pradesh,2021,1,morena district,1642617,4076150820
madhya-pradesh,2021,1,alirajpur district,228504,499989236
madhya-pradesh,2021,1,sehore district,3804912,6207673600
madhya-pradesh,2021,1,rajgarh district,2591177,5531194245
madhya-pradesh,2021,1,khargone district,2478158,5022742955
madhya-pradesh,2021,1,satna district,2437515,4816296175
madhya-pradesh,2021,1,narsinghpur district,1563580,3177530090
madhya-pradesh,2021,1,jabalpur district,6508756,11341470367
madhya-pradesh,2021,1,hoshangabad district,2149209,3776567780
madhya-pradesh,2021,1,vidisha district,2319909,4298632208
madhya-pradesh,2021,1,balaghat district,2315936,4600620055
madhya-pradesh,2021,1,singrauli district,2282715,4545863631
madhya-pradesh,2021,1,betul district,2398625,4370416166
madhya-pradesh,2021,1,sidhi district,1032630,2364548733
madhya-pradesh,2021,1,datia district,635398,1461101645
madhya-pradesh,2021,1,dewas district,3992803,6833124438
madhya-pradesh,2021,1,sheopur district,441474,999133018
madhya-pradesh,2021,1,neemuch district,1242613,2652786981
madhya-pradesh,2021,1,raisen district,2579640,4173866749
madhya-pradesh,2021,1,mandsaur district,1919705,4173482937
madhya-pradesh,2021,1,barwani district,1067563,2248538999
madhya-pradesh,2021,1,katni district,1402614,2685443831
madhya-pradesh,2021,1,dindori district,490349,1119999389
madhya-pradesh,2021,1,shivpuri district,1542033,3503136658
madhya-pradesh,2021,1,gwalior district,7162483,13365571399
madhya-pradesh,2021,1,anuppur district,1029032,1990314404
madhya-pradesh,2021,1,agar malwa district,811955,1905456871
madhya-pradesh,2021,1,ashoknagar district,744766,1569426631
madhya-pradesh,2021,1,sagar district,3149917,5653447301
madhya-pradesh,2021,1,niwari district,260101,590317182
madhya-pradesh,2021,1,rewa district,2905406,6260073492
madhya-pradesh,2021,1,shajapur district,1726969,3385896058
madhya-pradesh,2021,1,ujjain district,4926814,8661804508
madhya-pradesh,2021,1,bhind district,1375999,3080179035
madhya-pradesh,2021,1,tikamgarh district,709159,1447720949
madhya-pradesh,2021,1,seoni district,1598317,3496206162
madhya-pradesh,2021,1,harda district,783753,1460099482
madhya-pradesh,2021,1,burhanpur district,901398,1614553569
madhya-pradesh,2021,1,damoh district,823880,1759875819
madhya-pradesh,2021,1,bhopal district,67309234,101725720745
madhya-pradesh,2021,1,jhabua district,597586,1283708735
madhya-pradesh,2021,1,dhar district,4368739,7366487165
