state,transaction_year,districts,quater,transaction_count,transaction_amount
meghalaya,2018,east khasi hills,3,54015,111173160.3
meghalaya,2018,west garo hills,3,17911,31488596.44
meghalaya,2018,ribhoi,3,13023,26072883.3
meghalaya,2018,east jaintia hills,3,11397,22683448.87
meghalaya,2018,west jaintia hills,3,3240,4571330.12
meghalaya,2018,south west garo hills,3,2740,4294444.448
meghalaya,2018,north garo hills,3,2271,1976480.206
meghalaya,2018,south garo hills,3,2110,2467349.257
meghalaya,2018,east garo hills,3,1323,1963470.781
meghalaya,2018,west khasi hills,3,1228,2146208.197
meghalaya,2018,East Khasi Hills,3,11883,14458549.38
meghalaya,2018,East Khasi Hills,3,11765,25835260.86
meghalaya,2018,Jaintia Hills,3,7878,14188319.58
meghalaya,2018,Ri Bhoi,3,7087,13434015.06
meghalaya,2018,West Garo Hills,3,4254,7160224.868
meghalaya,2018,East Khasi Hills,3,4002,10857672.01
meghalaya,2018,West Garo Hills,3,3971,6539166.436
meghalaya,2018,West Garo Hills,3,3734,6456455.718
meghalaya,2018,East Khasi Hills,3,3724,8621736.17
meghalaya,2018,East Khasi Hills,3,2921,3690909.015
meghalaya,2018,east khasi hills,4,70386,167808906.8
meghalaya,2018,west garo hills,4,29000,52674487.37
meghalaya,2018,east jaintia hills,4,20614,37885027.67
meghalaya,2018,ribhoi,4,18294,42066652.87
meghalaya,2018,west jaintia hills,4,4693,7562803.761
meghalaya,2018,north garo hills,4,4011,4590211.26
meghalaya,2018,south west garo hills,4,3950,4531236.408
meghalaya,2018,south garo hills,4,3037,6001319.097
meghalaya,2018,west khasi hills,4,2821,5962239.03
meghalaya,2018,east garo hills,4,2808,5832920.484
meghalaya,2018,East Khasi Hills,4,15970,40796934.65
meghalaya,2018,East Khasi Hills,4,14358,28490192.39
meghalaya,2018,Jaintia Hills,4,10538,23552874.57
meghalaya,2018,West Garo Hills,4,9404,14388348.38
meghalaya,2018,Ri Bhoi,4,9221,21905952.47
meghalaya,2018,Jaintia Hills,4,7828,6620807.693
meghalaya,2018,West Garo Hills,4,6102,11176948.68
meghalaya,2018,East Khasi Hills,4,5184,13068701.78
meghalaya,2018,West Garo Hills,4,5179,10377005.14
meghalaya,2018,East Khasi Hills,4,4851,13033139.82
meghalaya,2018,east khasi hills,2,33966,61180700.48
meghalaya,2018,west garo hills,2,10651,19685429.15
meghalaya,2018,ribhoi,2,8761,14181827.92
meghalaya,2018,east jaintia hills,2,6004,13059945.84
meghalaya,2018,west jaintia hills,2,2232,2312980.333
meghalaya,2018,south west garo hills,2,1767,1724404.675
meghalaya,2018,north garo hills,2,1403,1278347.188
meghalaya,2018,south garo hills,2,1103,1553253.932
meghalaya,2018,east garo hills,2,832,1032161.169
meghalaya,2018,west khasi hills,2,742,684129.9553
meghalaya,2018,East Khasi Hills,2,7159,14913054.71
meghalaya,2018,East Khasi Hills,2,6136,10310363.43
meghalaya,2018,Ri Bhoi,2,5129,7424696.232
